,date,open,high,low,close,volume
0,1618358400000000000,68900,69800,68400,68700,110613
1,1618444800000000000,69400,70400,68500,69400,143218
2,1618531200000000000,69200,69300,68000,68400,119612
3,1618790400000000000,68900,69000,67800,68600,101820
4,1618876800000000000,68800,68800,67800,68400,68528
5,1618963200000000000,70100,70500,68200,68500,157676
6,1619049600000000000,69000,69000,68000,68500,93648
7,1619136000000000000,68200,68600,67300,67300,149132
8,1619395200000000000,67400,68200,67300,67700,77008
9,1619481600000000000,67800,68200,66100,66700,124959
10,1619568000000000000,66500,67000,64500,64700,129578
11,1619654400000000000,64800,66200,63900,64700,78294
12,1619740800000000000,64500,65000,62800,63700,99750
13,1620000000000000000,64400,65000,63200,63200,80306
14,1620086400000000000,62900,63000,60500,62300,200696
15,1620259200000000000,62300,63200,61300,61900,66733
16,1620345600000000000,62200,64300,62200,63300,88651
17,1620604800000000000,64000,64500,63100,63900,87251
18,1620691200000000000,65100,65300,62900,64000,217910
19,1620777600000000000,65500,67500,64400,65500,289577
20,1620864000000000000,64500,65400,63900,64800,122822
21,1620950400000000000,65300,65800,64300,64500,106748
22,1621209600000000000,65000,65300,64100,64700,72777
23,1621296000000000000,65200,67100,65200,67000,131063
24,1621468800000000000,67600,67700,65500,65500,115917
25,1621555200000000000,65800,66500,63700,64800,137029
26,1621814400000000000,64100,68000,64100,66600,153851
27,1621900800000000000,67000,67800,66800,67100,80629
28,1621987200000000000,67300,67800,65900,66700,111874
29,1622073600000000000,66800,67300,66000,67300,64881
30,1622160000000000000,67400,67700,66100,67600,89989
31,1622419200000000000,67700,68500,67300,67600,69435
32,1622505600000000000,67400,68200,66600,67600,62144
33,1622592000000000000,67500,67800,66900,67000,66979
34,1622678400000000000,66700,68500,66700,67800,79559
35,1622764800000000000,67200,67600,66700,67000,71204
36,1623024000000000000,67400,67800,66400,67800,79348
37,1623110400000000000,68100,68100,66900,66900,65627
38,1623196800000000000,66800,67100,64400,64800,161958
39,1623283200000000000,64500,64900,63500,64300,150600
40,1623369600000000000,64300,67300,64300,67000,141854
41,1623628800000000000,66300,67100,65000,65300,95385
42,1623715200000000000,65800,65900,64200,64900,59407
43,1623801600000000000,64200,66300,64100,65700,95341
44,1623888000000000000,65200,65600,64300,64600,81435
45,1623974400000000000,64800,66000,64600,66000,87691
46,1624233600000000000,65700,65700,64500,64700,68924
47,1624320000000000000,64900,64900,63700,63700,92461
48,1624406400000000000,64200,64200,62700,63000,99128
49,1624492800000000000,63000,64600,62700,63100,149162
50,1624579200000000000,59700,60600,58400,59200,635283
51,1624838400000000000,59000,59100,57700,59100,231456
52,1624924800000000000,59200,60300,59200,59400,154083
53,1625011200000000000,59500,59700,59000,59600,64388
54,1625097600000000000,59500,59700,59200,59400,77426
55,1625184000000000000,59400,59900,59300,59600,87888
56,1625443200000000000,61400,62400,61000,61200,256100
57,1625529600000000000,60600,61800,60500,61200,92557
58,1625616000000000000,61300,61600,60700,61000,73463
59,1625702400000000000,62100,63500,60600,60700,243623
60,1625788800000000000,60500,61300,59500,60500,110913
61,1626048000000000000,60700,61900,60700,61400,84597
62,1626134400000000000,61400,61500,60700,61500,62806
63,1626220800000000000,61400,61400,60800,61300,37106
64,1626307200000000000,61300,61700,61100,61600,49852
65,1626393600000000000,61600,61900,61300,61400,46447
66,1626652800000000000,61100,61300,60600,61000,44867
67,1626739200000000000,60000,65900,60000,62300,743046
68,1626825600000000000,63700,64000,62000,62000,116142
69,1626912000000000000,62700,63000,61800,61800,81626
70,1626998400000000000,61800,63700,61800,63200,103330
71,1627257600000000000,63400,63700,62400,62400,68904
72,1627344000000000000,62700,63100,62000,62300,60892
73,1627430400000000000,62400,62500,61100,61400,70035
74,1627516800000000000,61600,62300,61500,61800,55138
75,1627603200000000000,61700,61800,60300,60900,71838
76,1627862400000000000,60500,61600,60500,60900,46787
77,1627948800000000000,62700,63600,61200,61900,189668
78,1628035200000000000,62600,63900,62000,63600,133948
79,1628121600000000000,64000,65100,63300,63400,177854
80,1628208000000000000,63600,65000,63000,64200,84555
81,1628467200000000000,64700,64700,62000,62700,97121
82,1628553600000000000,62700,63300,62300,62600,63269
83,1628640000000000000,63200,64200,62500,62900,75684
84,1628726400000000000,63000,63300,61500,61900,95276
85,1628812800000000000,62400,63000,61200,61900,130152
86,1629158400000000000,62200,62200,58500,58600,179054
87,1629244800000000000,58600,59300,58200,58700,63354
88,1629331200000000000,58100,59300,56500,56500,115273
89,1629417600000000000,56600,58000,55600,56200,108701
90,1629676800000000000,56800,57500,55700,56500,54129
91,1629763200000000000,56700,58700,56700,58400,71510
92,1629849600000000000,58400,58900,57800,58500,49870
93,1629936000000000000,59500,61400,59500,60400,127116
94,1630022400000000000,60500,63300,60100,62700,191315
95,1630281600000000000,63100,64800,62200,62500,211257
96,1630368000000000000,62800,63800,62100,63300,105926
97,1630454400000000000,64000,64700,60200,61700,339434
98,1630540800000000000,61700,62500,60900,61500,106450
99,1630627200000000000,60700,60700,59000,59600,185992
100,1630886400000000000,59600,59900,58800,59500,69606
101,1630972800000000000,59500,60000,59100,59600,56426
102,1631059200000000000,59100,59700,58400,58500,82544
103,1631145600000000000,58000,59200,57500,57500,98859
104,1631232000000000000,58000,58600,57500,58000,45912
105,1631491200000000000,58800,59700,58100,58300,64385
106,1631577600000000000,59500,60300,59000,59000,74853
107,1631664000000000000,58900,60600,58600,59800,64562
108,1631750400000000000,61600,61700,60100,61300,143294
109,1631836800000000000,61700,62500,60600,60600,125233
110,1632355200000000000,60300,62600,59600,62000,169656
111,1632441600000000000,63000,63300,62000,62500,145467
112,1632700800000000000,63000,63500,61700,62900,109979
113,1632787200000000000,62800,63600,62100,63300,108511
114,1632873600000000000,62400,62900,60900,62400,81422
115,1632960000000000000,62500,63200,61900,63000,78187
116,1633046400000000000,62600,63000,60800,60900,78646
117,1633392000000000000,59600,60900,59500,60100,89355
118,1633478400000000000,60100,62600,59600,59600,146975
119,1633564800000000000,60100,62600,60100,62300,123364
120,1633651200000000000,62600,62800,61500,62300,65828
121,1633996800000000000,62500,62600,61000,61500,70467
122,1634083200000000000,61200,62800,61200,61500,63062
123,1634169600000000000,61600,64600,61600,64500,295140
124,1634256000000000000,64200,66200,63400,65200,226949
125,1634515200000000000,65500,66000,64000,65800,157424
126,1634601600000000000,65500,66800,64700,65800,155846
127,1634688000000000000,66100,67300,61900,64700,515500
128,1634774400000000000,65800,73400,65100,73400,2078262
129,1634860800000000000,72700,86400,65400,66600,5917268
130,1635120000000000000,67500,67900,63800,64200,1066955
131,1635206400000000000,64400,65600,63100,64700,691614
132,1635292800000000000,64800,66600,63700,65900,628578
133,1635379200000000000,66700,67100,64100,64100,442351
134,1635465600000000000,64600,66200,63200,64200,465144
135,1635724800000000000,64200,66000,63600,65200,288330
136,1635811200000000000,66100,67800,65900,67800,473663
137,1635897600000000000,67500,68500,66200,66300,295196
